asset_type,field,source_table,source_column,role
barrage,official_evidence__valid_from,official_evidence,valid_from,FEATURE
barrage,official_evidence__valid_to,official_evidence,valid_to,FEATURE
barrage,official_evidence__authority_level,official_evidence,authority_level,FEATURE
barrage,official_evidence__origin,official_evidence,origin,FEATURE
barrage,official_evidence__quality_flag,official_evidence,quality_flag,FEATURE
barrage,official_evidence__confidence_score,official_evidence,confidence_score,FEATURE
barrage,official_evidence__is_official,official_evidence,is_official,FEATURE
barrage,official_evidence__is_derived,official_evidence,is_derived,FEATURE
barrage,official_evidence__is_synthetic,official_evidence,is_synthetic,FEATURE
barrage,official_evidence__processing_method,official_evidence,processing_method,FEATURE
barrage,official_evidence__extraction_metadata,official_evidence,extraction_metadata,FEATURE
barrage,official_evidence__created_at,official_evidence,created_at,FEATURE
barrage,official_evidence__updated_at,official_evidence,updated_at,FEATURE
airport,asset__id,assets,id,IDENTIFIER
airport,asset__asset_code,assets,asset_code,IDENTIFIER
airport,asset__name,assets,name,FEATURE
airport,asset__asset_type,assets,asset_type,FEATURE
airport,asset__subtype,assets,subtype,FEATURE
airport,asset__district,assets,district,FEATURE
airport,asset__owner,assets,owner,FEATURE
airport,asset__status,assets,status,FEATURE
airport,asset__identity_status,assets,identity_status,FEATURE
airport,asset__built_year,assets,built_year,FEATURE
airport,asset__design_life_years,assets,design_life_years,FEATURE
airport,asset__material,assets,material,FEATURE
airport,asset__condition,assets,condition,CONTEXT_ONLY_DO_NOT_USE_AS_TARGET
airport,asset__representative_geometry,assets,representative_geometry,GEOMETRY_EXCLUDED
airport,asset__source_id,assets,source_id,FEATURE
airport,asset__confidence_score,assets,confidence_score,FEATURE
airport,asset__is_estimated,assets,is_estimated,FEATURE
airport,asset__created_at,assets,created_at,FEATURE
airport,asset__updated_at,assets,updated_at,FEATURE
temple,asset__id,assets,id,IDENTIFIER
temple,asset__asset_code,assets,asset_code,IDENTIFIER
temple,asset__name,assets,name,FEATURE
temple,asset__asset_type,assets,asset_type,FEATURE
temple,asset__subtype,assets,subtype,FEATURE
temple,asset__district,assets,district,FEATURE
temple,asset__owner,assets,owner,FEATURE
temple,asset__status,assets,status,FEATURE
