page,line_number,chainages,bridge_types,conditions,defects,text
20,17,1.5; 4.5; 2.9,,,,embankments (3m and above) | iii) Kerb median shall be provided at places where median width is 1.5 m and also in the | lengths where median tapers from 4.5 m to 1.5 m. | 2.9 Intersections | The following are the locations for the major junctions to be improved along the project
20,18,1.5; 4.5; 2.9,,,,iii) Kerb median shall be provided at places where median width is 1.5 m and also in the | lengths where median tapers from 4.5 m to 1.5 m. | 2.9 Intersections | The following are the locations for the major junctions to be improved along the project | Highway. The improvements have to be carried out as per the IRC and MOST specification.
20,36,77.716; 78.886; 80.238,,,,spelt out in Schedule D. | Proposed (Km) | 77.716 (L) | 78.886 (R) | 80.238 (L)
20,37,77.716; 78.886; 80.238; 106.193,,,,Proposed (Km) | 77.716 (L) | 78.886 (R) | 80.238 (L) | 106.193 (R)
20,38,77.716; 78.886; 80.238; 106.193; 106.292,,,,77.716 (L) | 78.886 (R) | 80.238 (L) | 106.193 (R) | 106.292 (L)
20,39,78.886; 80.238; 106.193; 106.292; 81.050,,,,78.886 (R) | 80.238 (L) | 106.193 (R) | 106.292 (L) | 81.050 (R)
20,40,80.238; 106.193; 106.292; 81.050; 120.126,,,,80.238 (L) | 106.193 (R) | 106.292 (L) | 81.050 (R) | 120.126 (R)
20,41,106.193; 106.292; 81.050; 120.126; 120.334,,,,106.193 (R) | 106.292 (L) | 81.050 (R) | 120.126 (R) | 120.334 (R)
20,42,106.292; 81.050; 120.126; 120.334; 133.938,,,,106.292 (L) | 81.050 (R) | 120.126 (R) | 120.334 (R) | 133.938 (L)
20,43,81.050; 120.126; 120.334; 133.938,,,,81.050 (R) | 120.126 (R) | 120.334 (R) | 133.938 (L)
20,44,120.126; 120.334; 133.938,,,,120.126 (R) | 120.334 (R) | 133.938 (L)
